run_id,seabed_id,youngs_modulus,EA,EI,submerged_weight,residual_lay_tension,elem_length,cable_node_no,cable_x,cable_z,cable_y,seabed_gap,seabed_pen,seabed_node_no,seabed_x,seabed_z,seabed_y
,,,,,,,,47.0,92.32695101676376,-0.6022399515492015,0.0,-0.5,0.0,2000047,45.45771144278607,-1.29652868,-1.0
,,,,,,,,48.0,94.33511116393728,-0.8426610386394756,0.0,-0.5,0.0,2000048,46.46766169154229,-1.51695869,-1.0
,,,,,,,,49.0,96.3478642582761,-1.040903722905938,0.0,-0.3046959340572357,0.0,2000049,47.47761194029851,-1.69773995,-1.0
,,,,,,,,50.0,98.36421535861358,-1.1983133101606998,0.0,-0.14834104478359222,0.0,2000050,48.48756218905473,-1.8446224500000001,-1.0
,,,,,,,,51.0,100.38242788891844,-1.3296470447725437,0.0,0.0,0.001896813279017806,2000051,49.49751243781095,-1.9608481,-1.0
,,,,,,,,52.0,102.4014680750805,-1.4475660218808413,0.0,-0.11881322413682938,0.0,2000052,50.507462686567166,-2.02402632,-1.0
,,,,,,,,53.0,104.42199264944546,-1.5363874386046508,0.0,-0.4079454243183136,0.0,2000053,51.517412935323385,-2.06257241,-1.0
,,,,,,,,54.0,106.44406125104734,-1.5768164401148106,0.0,-0.5,0.0,2000054,52.527363184079604,-2.12478807,-1.0
,,,,,,,,55.0,108.46645815064649,-1.559403352046253,0.0,0.0,0.0,2000055,53.53731343283582,-2.2399638,-1.0
,,,,,,,,56.0,110.4873639716061,-1.4797875496252828,0.0,-0.5,0.0,2000056,54.54726368159204,-2.40179123,-1.0
,,,,,,,,57.0,112.50475623906685,-1.336454875665973,0.0,-0.28491026163101196,0.0,2000057,55.55721393034826,-2.57408554,-1.0
,,,,,,,,58.0,114.51665866372382,-1.1298357733911442,0.0,-0.10041262954473495,0.0,2000058,56.56716417910448,-2.71881779,-1.0
,,,,,,,,59.0,116.521376964681,-0.8622830986800988,0.0,-0.02404816821217537,0.0,2000059,57.5771144278607,-2.83851526,-1.0
,,,,,,,,60.0,118.51786625977564,-0.5389299568792136,0.0,-0.05397365987300873,0.0,2000060,58.58706467661692,-2.93904642,-1.0
,,,,,,,,61.0,120.50643319156194,-0.16989867682750434,0.0,-0.07325882464647293,0.0,2000061,59.59701492537314,-2.98135869,-1.0
,,,,,,,,62.0,122.49005879389948,0.22490954567252777,0.0,-0.04236184060573578,0.0,2000062,60.60696517412936,-2.92541976,-1.0
